[2026-06-15 03:18:11] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 03:35:45] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 04:52:54] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-15 04:53:15] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-15 04:53:58] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-15 05:03:19] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 05:28:41] 未戴安全帽; 未穿反光背心 | LLM: False
[2026-06-15 13:55:10] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 14:19:05] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 14:20:36] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 14:45:33] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 14:54:41] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:27:34] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:27:34] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:27:34] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:39:53] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:41:26] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:41:51] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:42:04] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:42:27] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 15:45:38] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:23:52] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:27:33] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:29:57] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:29:57] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:33:29] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:45:04] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:46:21] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:46:21] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 16:46:21] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 17:55:18] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 17:57:01] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:08:12] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:08:12] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:08:12] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:08:28] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:09:04] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:09:10] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:09:19] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:09:30] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:10:20] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:10:22] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:10:56] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:10:59] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:11:03] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:11:18] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:12:33] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:22:05] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:22:05] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 18:54:58] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:26:58] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:27:41] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:27:43] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:27:45] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:27:46] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:37:26] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:37:28] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:37:32] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:37:36] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 22:37:55] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-15 23:43:40] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 00:14:33] 未戴安全帽; 未穿反光背心 | LLM: True
[2026-06-16 00:14:35] 未戴安全帽; 未穿反光背心 | LLM: True
